# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.12.0
#@/tick	3579
#@/user_id	75e113b6-15e1-4610-862b-e87c7177b302
a 	啊	c=44 d=8.4875 t=3579
ai hao 	爱好	c=1 d=0.600496 t=3579
ai ni 	爱你	c=1 d=0.995012 t=3579
an 	按	c=5 d=1.67213 t=3579
an biao zhun 	按标准	c=0 d=0.099005 t=3579
an biao zhun ya ba gu 	按标准牙巴骨	c=1 d=0.995012 t=3579
an zhao 	按照	c=1 d=0.843665 t=3579
an zhuang 	安装	c=12 d=3.99057 t=3579
ao 	傲	c=1 d=0.970446 t=3579
ao ao 	嗷嗷	c=1 d=0.985112 t=3579
ao wu 	嗷呜	c=1 d=0.99005 t=3579
ba 	吧	c=22 d=4.89891 t=3579
ba 	把	c=9 d=2.22473 t=3579
bai du 	百度	c=2 d=1.85829 t=3579
ban xiao shi 	半小时	c=1 d=0.315058 t=3579
bang 	帮	c=1 d=0.831104 t=3579
bao 	包	c=7 d=2.50995 t=3579
bao 	宝	c=2 d=1.52157 t=3579
bao cun 	保存	c=1 d=0.436049 t=3579
bao cuo 	报错	c=5 d=3.07962 t=3579
bao kuo 	包括	c=1 d=0.715338 t=3579
bao sha cuo 	报啥错	c=1 d=0.985112 t=3579
bei 	被	c=9 d=2.96585 t=3579
bei jing 	北京	c=1 d=0.29523 t=3579
bei shang 	悲伤	c=1 d=0.970446 t=3579
ben shen 	本身	c=1 d=0.767206 t=3579
ben zi 	本子	c=1 d=0.860708 t=3579
bi 	币	c=0 d=0.099005 t=3579
bi 	比	c=1 d=0.786628 t=3579
bi ji ben 	笔记本	c=2 d=0.380963 t=3579
bi jiao 	比较	c=1 d=0.343009 t=3579
bi jing 	毕竟	c=1 d=0.657047 t=3579
bi ru 	比如	c=9 d=3.37198 t=3579
bi xu 	必须	c=3 d=2.25267 t=3579
bi zi 	鼻子	c=1 d=0.995012 t=3579
bian cheng 	变成	c=1 d=0.802519 t=3579
bian dong 	变动	c=1 d=0.582748 t=3579
bian ji 	编辑	c=1 d=0.980199 t=3579
bian xi 	辨析	c=1 d=0.778801 t=3579
bian xie 	编写	c=1 d=0.782705 t=3579
bian yi 	编译	c=2 d=1.67911 t=3579
biao pan 	表盘	c=1 d=0.900325 t=3579
biao zhu 	标注	c=1 d=0.826959 t=3579
biao zhun 	标准	c=2 d=1.78028 t=3579
bie 	别	c=1 d=0.287941 t=3579
bie ren 	别人	c=1 d=0.814647 t=3579
bing 	并	c=2 d=1.71456 t=3579
bu 	不	c=8 d=2.47508 t=3579
bu da 	不大	c=1 d=0.839457 t=3579
bu dao 	不到	c=3 d=1.92608 t=3579
bu de bu 	不得不	c=1 d=0.612626 t=3579
bu dui 	不对	c=4 d=2.60546 t=3579
bu gan 	不敢	c=1 d=0.535261 t=3579
bu gao 	不高	c=1 d=0.744532 t=3579
bu gui 	不贵	c=1 d=0.519442 t=3579
bu guo 	不过	c=2 d=1.28392 t=3579
bu hao 	不好	c=2 d=1.66184 t=3579
bu hao yong 	不好用	c=1 d=0.806541 t=3579
bu hui 	不会	c=2 d=0.57695 t=3579
bu jiao 	不叫	c=1 d=0.980199 t=3579
bu jiu shi 	不就是	c=1 d=0.771052 t=3579
bu ju 	布局	c=5 d=2.68799 t=3579
bu leng 	不冷	c=1 d=0.535261 t=3579
bu liao 	不了	c=4 d=1.73488 t=3579
bu neng 	不能	c=8 d=3.31775 t=3579
bu ou 	布偶	c=1 d=0.83527 t=3579
bu qi 	不起	c=1 d=0.995012 t=3579
bu shi 	不是	c=16 d=3.68114 t=3579
bu shi he 	不适合	c=1 d=0.923116 t=3579
bu shi zhe 	不是这	c=1 d=0.932394 t=3579
bu shi zhe yan 	不是这眼	c=1 d=0.878095 t=3579
bu shu 	部署	c=1 d=0.790571 t=3579
bu tai 	不太	c=1 d=0.647265 t=3579
bu tai xing 	不太行	c=1 d=0.634448 t=3579
bu xia qu 	不下去	c=0 d=0.0677057 t=3579
bu xian shi 	不显示	c=1 d=0.923116 t=3579
bu xiang 	不想	c=2 d=0.948657 t=3579
bu xing 	不行	c=10 d=2.98659 t=3579
bu xu yao 	不需要	c=1 d=0.810584 t=3579
bu yi ding 	不一定	c=1 d=0.57695 t=3579
bu yi yang 	不一样	c=1 d=0.634448 t=3579
bu yong 	不用	c=4 d=1.62415 t=3579
bu zhi dao 	不知道	c=1 d=0.759572 t=3579
bu zhi ding 	不指定	c=1 d=0.790571 t=3579
cai 	才	c=2 d=0.806541 t=3579
cai ce 	猜测	c=1 d=0.970446 t=3579
cai dan 	菜单	c=1 d=0.831104 t=3579
cai dui 	才对	c=1 d=0.891366 t=3579
cai dui le 	猜对了	c=1 d=0.895834 t=3579
cai e 	才饿	c=1 d=0.965605 t=3579
cai neng 	才能	c=3 d=1.41655 t=3579
cai xiang 	猜想	c=1 d=0.509156 t=3579
can shu 	参数	c=3 d=2.62297 t=3579
cao 	艹	c=1 d=1 t=3510
ce ping 	测评	c=1 d=0.843665 t=3579
ce shi 	测试	c=8 d=6.67229 t=3579
cha jian 	插件	c=6 d=3.62741 t=3579
cha kan qi 	查看器	c=1 d=0.67032 t=3579
chan wu 	产物	c=1 d=0.970446 t=3579
chang 	长	c=1 d=0.980199 t=3579
chang le 	长了	c=1 d=0.970446 t=3579
chang mao mao 	长毛猫	c=1 d=0.847894 t=3579
chao 	抄	c=2 d=1.43026 t=3579
che 	车	c=0 d=0.0551563 t=3579
che dan 	扯淡	c=1 d=0.818731 t=3579
che hui 	撤回	c=0 d=0.0554327 t=3579
chen xian 	衬线	c=6 d=5.0454 t=3579
cheng gong 	成功	c=2 d=0.94171 t=3579
cheng yin 	成瘾	c=1 d=0.932394 t=3579
chi diao 	吃掉	c=1 d=1 t=3579
chi shen me 	吃什么	c=2 d=1.84091 t=3579
chong feng yi 	冲锋衣	c=1 d=0.985112 t=3579
chong qi 	重启	c=1 d=0.947518 t=3579
chong qi hou you 	重启后由	c=1 d=0.918512 t=3579
chong tu 	冲突	c=1 d=0.752014 t=3579
chong wu 	宠物	c=1 d=0.722527 t=3579
chong xin 	重新	c=1 d=0.782705 t=3579
chong zhuang 	重装	c=3 d=1.26577 t=3579
chou 	臭	c=2 d=1.48572 t=3579
chou feng 	抽风	c=1 d=0.609571 t=3579
chu chong 	除虫	c=1 d=0.970446 t=3579
chu lai 	出来	c=1 d=0.860708 t=3579
chu le 	除了	c=2 d=1.52712 t=3579
chu lian 	初恋	c=1 d=0.463013 t=3579
chu mo ban 	触摸板	c=1 d=0.869358 t=3579
chu qu 	出去	c=2 d=0.994203 t=3579
chu shi hua 	初始化	c=1 d=0.980199 t=3579
chuan 	穿	c=1 d=0.969792 t=3579
chuan bu liao 	穿不了	c=1 d=0.995012 t=3579
chuan shi jian 	穿时间	c=1 d=0.965605 t=3579
chuan zhe 	穿着	c=1 d=0.965605 t=3579
chuang jian 	创建	c=5 d=2.23521 t=3579
chuang kou 	窗口	c=3 d=2.24065 t=3579
